left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
324.7330131,233.9335761,312.2482656,230.4488837,321.565979,233.0496063,0
325.1649602,232.451348,312.6792007,228.9685774,321.9806213,231.5631104,1.541756077
325.5931795,230.9816155,313.1073756,227.4969167,322.3922424,230.0882568,3.074439659
326.0158374,229.5304053,313.5312309,226.0377635,322.7999878,228.6307526,4.593907124
326.4335493,228.0996059,313.9506578,224.5956317,323.2035828,227.1929474,6.095793622
326.8453883,226.6872056,314.3657188,223.169342,323.6037292,225.7734222,7.581249088
327.2531088,225.2894603,314.7774877,221.7548409,324.0018311,224.3683014,9.054465633
327.6582071,223.9005151,315.1866544,220.3477296,324.3995361,222.9722137,10.51985964
328.0617952,222.5148097,315.5949945,218.9447452,324.7981567,221.5802155,11.98106013
328.4656244,221.1289879,316.0034718,217.5410466,325.1988525,220.1884613,13.4429847
328.8701489,219.739893,316.4113423,216.136239,325.6020203,218.7946014,14.90580484
329.275636,218.3471984,316.8209253,214.7288437,326.0078125,217.3978271,16.37158782
329.683288,216.9512025,317.2312027,213.3190332,326.4160767,215.9981842,17.83988384
330.0902939,215.5516591,317.6412906,211.9072354,326.8265076,214.5961914,19.31003523
330.4983732,214.1498275,318.0521716,210.4947672,327.2387085,213.1925659,20.78105175
330.9076922,212.7469213,318.4631762,209.0804954,327.6525574,211.7878876,22.25383467
331.3165337,211.3423117,318.8742865,207.6666476,328.0677185,210.3825531,23.72623994
331.7258872,209.9369163,319.2856415,206.2528081,328.4840088,208.9768524,25.19870558
332.1352363,208.5309317,319.6972012,204.8387781,328.9013367,207.5709686,26.67141133
332.5451015,207.1244656,320.1087541,203.4248459,329.3196106,206.1649323,28.14402128
332.9547591,205.717473,320.5195711,202.0106124,329.7387695,204.7588043,29.61671507
333.3645958,204.3100452,320.9312412,200.5966872,330.1587524,203.3525848,31.08935105
333.7748704,202.9021578,321.3425519,199.1831458,330.5794373,201.9462738,32.56151809
334.1849757,201.4937278,321.7535807,197.7698391,331.0007324,200.5398712,34.03338102
334.594595,200.0849872,322.1645985,196.3558264,331.422699,199.1333771,35.50591881
335.8517274,195.7688979,323.4235512,192.0303226,332.7183228,194.8263245,40.01090994
336.2790122,194.3015453,323.8529095,190.5555826,333.1599731,193.3612823,41.54688084
336.7066678,192.8319952,324.2808395,189.0862217,333.6016846,191.8959961,43.07728783
337.1338472,191.3628902,324.7091841,187.614519,334.0437622,190.4306488,44.61005915
337.5618783,189.8921436,325.1362272,186.1475403,334.4854431,188.9650269,46.13793098
337.9903895,188.4221501,325.564324,184.6782263,334.9270935,187.4991913,47.66833958
338.417845,186.9517398,325.9927763,183.2085839,335.3687439,186.0331726,49.19916294
338.8449694,185.480562,326.4198626,181.7401897,335.8101196,184.5669708,50.72840597
339.2740307,184.0101663,326.8481019,180.2710091,336.2513733,183.1006012,52.25872637
339.7020929,182.5394365,327.2760867,178.8017435,336.6924744,181.6341553,53.78905718
340.129464,181.0685158,327.7038289,177.3314788,337.1335754,180.1674957,55.32027946
340.5581756,179.5981055,328.1318193,175.8608904,337.5746765,178.7008209,56.8518819
340.9863529,178.1273965,328.5603368,174.3905171,338.0157776,177.2340546,58.3834252
341.414329,176.6560225,328.9888901,172.9215925,338.456665,175.7671051,59.91358775
341.8420962,175.1849735,329.4169748,171.4514144,338.8974609,174.3001556,61.44482259
342.2705377,173.7145221,329.8454327,169.9797531,339.3384094,172.8331757,62.97758584
342.69843,172.2427336,330.2734859,168.5113608,339.7790222,171.3659973,64.50709736
343.1263509,170.772081,330.7027373,167.0391569,340.2198792,169.8987732,66.0406035
343.5552877,169.3003394,331.1315842,165.571536,340.6602783,168.4314423,67.56959688
343.9826151,167.8281583,331.5592968,164.1032554,341.1002808,166.9639435,69.09890587
344.4106609,166.3560544,331.9871406,162.6350299,341.5398865,165.4962158,70.62819866
344.8391715,164.8842306,332.4157495,161.1666059,341.979126,164.0283813,72.15789622
345.2667009,163.4119773,332.8443371,159.6982704,342.4179993,162.5603485,73.68750286
345.6945893,161.9397645,333.2723716,158.2305683,342.8563538,161.0922852,75.21634654
346.122524,160.4671124,333.6997854,156.7640578,343.2940369,159.6239777,76.74387252
346.5512728,158.9950794,334.1280646,155.2971642,343.7311096,158.1556244,78.2720086
346.9789218,157.5221068,334.554875,153.8320438,344.1672974,156.687027,79.79803118
347.4071038,156.0497088,334.9814567,152.3661135,344.6026917,155.218338,81.32476744
347.8355696,154.5772556,335.4087553,150.9012608,345.0372009,153.7494659,82.85066964
348.2629636,153.1047882,335.8353313,149.4359715,345.4708557,152.2805176,84.37678884
348.6912651,151.632532,336.2620849,147.9712411,345.9036255,150.8113708,85.90242109
349.1200116,150.1606382,336.6886346,146.5067811,346.3354492,149.3421936,87.42773671
349.5480972,148.6888572,337.115946,145.0416831,346.76651,147.8728333,88.95387798
349.9762054,147.2173652,337.5425801,143.5761077,347.1968384,146.4034119,90.48028812
