left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
413.7982378,-209.9049781,414.610778,-198.094944,414.0029602,-206.9293976,0
412.2500054,-209.757757,413.064931,-197.9473214,412.4525452,-206.8224182,1.552879656
410.7077658,-209.6092928,411.5293711,-197.7995197,410.9091187,-206.7150421,3.095536384
409.1771627,-209.461639,410.0094668,-197.6513964,409.3783264,-206.6071625,4.622641313
407.6605738,-209.3141706,408.5071954,-197.5045004,407.8624268,-206.4984894,6.13207753
406.1570274,-209.1661536,407.0212967,-197.3576313,406.360321,-206.3885498,7.625217015
404.6626448,-209.0194809,405.5469633,-197.2111001,404.868042,-206.2767944,9.106814282
403.173071,-208.8717105,404.0785151,-197.063866,403.3807983,-206.1627502,10.5826252
401.6839261,-208.7227756,402.6099841,-196.9155668,401.8938599,-206.0461273,12.05862522
400.1921066,-208.5733403,401.1378585,-196.7672218,400.4041138,-205.9267883,13.53820621
398.6960134,-208.4231238,399.6593188,-196.6180531,398.909668,-205.8048401,15.02425166
397.1951774,-208.2716594,398.1746205,-196.4676534,397.4101868,-205.6804199,16.51654829
395.6903313,-208.1196842,396.6840716,-196.3171911,395.9063721,-205.5538025,18.01467203
394.1824833,-207.9669823,395.1885798,-196.1657492,394.3991699,-205.4253082,19.51781225
392.6724689,-207.8136435,393.6893003,-196.0156807,392.8895264,-205.2951965,21.02458348
391.1611454,-207.6604582,392.1871416,-195.864004,391.3782959,-205.1637573,22.53438036
389.6489207,-207.5066242,390.6834384,-195.7140273,389.8660889,-205.0310974,24.04554423
388.136256,-207.3544573,389.1774305,-195.565023,388.353241,-204.8974915,25.55890542
386.6232107,-207.2013147,387.6707762,-195.4153414,386.8399353,-204.7629852,27.07297663
385.1100145,-207.0481379,386.1627899,-195.2664135,385.3262939,-204.6277313,28.58829918
383.5966121,-206.8949875,384.6541285,-195.1196427,383.812439,-204.4917755,30.10408304
382.0830762,-206.742079,383.1441122,-194.9724786,382.2982483,-204.3552704,31.62125365
380.5692767,-206.590208,381.6333096,-194.8246785,380.783783,-204.2183075,33.1392686
379.055442,-206.4375391,380.1212652,-194.6773519,379.2690125,-204.0810242,34.65847336
377.5414288,-206.2843505,378.6087118,-194.5309795,377.7539978,-203.9434509,36.17809267
372.9038833,-205.820073,373.9719321,-194.0808756,373.1130371,-203.5212097,40.83666745
371.3258872,-205.6611511,372.3941107,-193.9284901,371.5338135,-203.3774261,42.42183046
369.7468057,-205.5037053,370.8187524,-193.7741608,369.9543152,-203.233078,44.00473011
368.1676601,-205.3452333,369.241178,-193.6206659,368.3742981,-203.0884094,45.58975436
366.5875703,-205.1874615,367.6667732,-193.4673299,366.7942505,-202.9429169,47.17160848
365.0080939,-205.0294464,366.0876723,-193.3116709,365.2137451,-202.7973022,48.75836276
363.4279293,-204.8726121,364.510482,-193.1564762,363.6331787,-202.6512604,50.34317027
361.8475051,-204.71559,362.9330034,-193.0012542,362.0523682,-202.504776,51.92826727
360.266168,-204.5581876,361.3575946,-192.8444837,360.4712219,-202.3574524,53.51145701
358.6854852,-204.4017283,359.77869,-192.6881253,358.8900452,-202.2098846,55.09808479
357.1059484,-204.2459638,358.1939362,-192.5311893,357.3086853,-202.0630188,56.69059026
355.5251496,-204.089199,356.6150361,-192.3734562,355.7273254,-201.9159088,58.27734955
353.9433091,-203.9342984,355.039464,-192.2168039,354.1459656,-201.7679749,59.86069017
